,3-gram,*/*
1327,IQU,312966334
1328,GNE,312900889
1329,NIG,312748146
1330,RUN,312727884
1331,RRY,312299759
1332,URO,310259788
1333,YES,310246674
1334,ORP,310011696
1335,DRO,309707081
1336,RAY,309314165
1337,OHN,308414190
1338,HOT,307566169
1339,YET,306627877
1340,GAL,306121286
1341,ADO,305719580
1342,CIO,305234892
1343,JUD,304323288
1344,GOT,304184004
1345,OBE,303638523
1346,TUN,303573078
1347,IPA,303389163
1348,RKS,303353340
1349,SEM,302926643
1350,OMB,302502012
1351,HTS,302381055
1352,COP,301389919
1353,NFE,301299116
1354,DOC,300501873
1355,PAP,300355706
1356,LIO,300305822
1357,ANU,300266687
1358,AIM,299848719
1359,ELT,298834190
1360,OIL,298525984
1361,RCU,298310179
1362,THS,297741137
1363,EDS,297710732
1364,OPU,297563488
1365,FEN,296685633
1366,IDA,296536031
1367,NDR,296530828
1368,IRO,296372075
1369,AMB,296313453
1370,TIR,296220827
1371,IAM,295470709
1372,AIS,295467156
1373,ALW,294866898
1374,NEL,294154094
1375,URG,293935372
1376,KNE,293842643
1377,EGU,293664646
1378,DAM,293655716
1379,ATC,293503144
1380,FLA,293295813
1381,NIM,291875057
1382,SKI,291802520
1383,NEX,291766720
1384,OYE,291627946
1385,GEM,291219093
1386,SEQ,291013038
1387,ILS,290407803
1388,VOI,289024513
1389,NFI,288914638
1390,RSH,288177517
1391,REW,286640888
1392,OTO,285656290
1393,LLU,285180158
1394,IRA,285119975
1395,ATR,284497156
1396,USA,284116981
1397,ICL,283224308
1398,BON,283155596
1399,USU,282988087
1400,XPR,282876921
1401,TOT,281908674
1402,MAJ,281861558
1403,IRM,281819364
1404,INO,281647758
1405,OLS,281498408
1406,SUG,281333604
1407,PES,281317960
1408,UDY,280447225
1409,GRI,279238531
1410,UED,279157324
1411,HAI,279026046
1412,RPR,278848913
1413,IAB,278814199
1414,LAM,278473862
1415,SKE,278298183
1416,NAB,277988668
1417,MBI,277916471
1418,ADA,277392041
1419,WLE,277107331
1420,GIS,277073624
1421,GHE,276941336
1422,IRD,276856450
1423,LAD,276707802
1424,SMI,275340157
1425,SUF,275144774
1426,LEY,274452170
1427,RCI,274034784
1428,KEE,273823702
1429,LEX,272644138
1430,GTH,272584989
1431,MEL,272417509
1432,AMS,272102972
1433,RGI,271909543
1434,LYS,271820969
1435,SPR,271773840
1436,BOA,270874238
1437,UTS,270271168
1438,LTS,269906353
1439,ALF,269625068
1440,PAY,269497074
1441,OIC,269465117
1442,UMP,269053210
1443,RUE,268886539
1444,TAS,268853549
1445,IPT,268619688
1446,ARB,268278618
1447,LMO,267966009
1448,NVO,267466685
1449,YON,267090402
1450,JOR,267051005
1451,RFO,265997364
1452,OPT,264633388
1453,YME,263778278
1454,UDG,262714044
1455,XTR,262526653
1456,IMU,262215981
1457,BOV,262079202
1458,HEE,261517106
1459,DVA,261439554
1460,ILT,260083596
1461,UTT,259906065
1462,IGE,259730009
1463,NSP,259702253
1464,OCU,259455313
1465,NSO,259205967
1466,NEG,259130200
1467,UPE,258202729
1468,AGO,257903618
1469,LSE,255263911
1470,OAC,254183465
1471,EHA,253831494
1472,DUL,253349395
1473,URV,253114122
1474,RUM,251119174
1475,KIL,250828791
1476,UNS,250781153
1477,OMO,250717471
1478,TIG,250621789
1479,SLI,250507265
1480,AJO,250450217
1481,WID,250058936
1482,OCT,250032446
1483,EPL,249976840
1484,IPS,249478149
1485,UNA,249172926
1486,ECK,249153611
1487,CTL,248701181
1488,LID,248592892
1489,NSH,248523959
1490,VAI,248486334
1491,COO,247991051
1492,SAG,247527982
1493,COA,247089829
1494,MBL,246563214
1495,THY,246127929
1496,SYM,245491409
1497,RIF,245251090
1498,EPI,245034149
1499,GOI,245020138
1500,MEE,244755941
1501,NUA,243323725
1502,LAU,242869128
1503,ROR,242082109
1504,CEE,240870168
1505,RIZ,240701995
1506,UID,240540637
1507,GLY,240506103
1508,ERH,239718268
1509,TSE,239259543
1510,NGR,238352607
1511,NDL,238015039
1512,AUL,237942434
1513,EAU,237756705
1514,OAR,236594295
1515,FUS,236582108
1516,TOU,236411751
1517,CEM,236403074
1518,ENN,236374589
1519,AMM,235943112
1520,OGN,235915305
1521,IAR,235793601
1522,MPU,233523851
1523,WHY,231951639
1524,GNA,231573521
1525,CTA,231474077
1526,UTU,230872652
1527,NOV,229263808
1528,SIX,227987821
1529,ALR,227912548
1530,USH,227018420
1531,IAG,226671636
1532,WOO,226555411
1533,COG,226518248
1534,IBR,226293394
1535,PAG,225488947
1536,RFA,225245074
1537,TEP,224894769
1538,NSC,224694157
1539,RHA,224448997
1540,GON,224227116
1541,ILO,223973055
1542,AGN,223959464
1543,PEE,223735225
1544,POO,223452434
1545,ZIN,223391097
1546,LEE,223386412
1547,BOL,223344192
1548,ALC,223227040
1549,NOL,223041204
1550,KEL,222487078
1551,RMO,222438310
1552,UMM,222403774
1553,ADS,222204795
1554,RKI,221890667
1555,PSY,221807012
1556,HNI,221681657
1557,SIZ,220965831
1558,UCK,220771001
1559,RNS,220697492
1560,GLO,220511376
1561,LAG,220049261
1562,PPI,219758207
1563,TTO,219499208
1564,OID,219057289
1565,EGO,219030815
1566,TOC,219020927
1567,ECL,218752273
1568,PEL,218389400
1569,SAC,217804860
1570,ACY,217585630
1571,LIP,217497971
1572,IDD,217050585
1573,OAT,216980715
1574,UAG,216883280
1575,FFO,216651890
1576,EFL,216175389
1577,UPS,216075703
1578,FIV,215637865
1579,ATS,215430062
1580,CRU,215238306
1581,ATM,214998184
1582,TAX,214976942
1583,NUT,214919705
1584,FLI,214712390
1585,SUN,214463695
1586,ENV,214288694
1587,IFY,214254482
1588,OXI,214230921
1589,ASP,213311433
1590,NEI,213232532
1591,GOR,212191987
1592,UTO,211928224
1593,ICY,211731021
1594,NKI,210594190
1595,YCH,210416399
1596,TNE,209970555
1597,PIL,209301425
1598,STL,208834954
1599,IPP,208305636
1600,JOI,208196666
1601,JOU,208028694
1602,IRL,207952614
1603,FAS,207785208
1604,OFE,207695313
1605,SYC,206980672
1606,SLE,206956741
1607,POU,206933306
1608,NSW,206150962
1609,ONY,206116787
1610,OKS,205663695
1611,MOM,205447495
1612,SLO,205334708
1613,LOA,205324500
1614,STY,205011932
1615,UBT,204158911
1616,ORO,203975700
1617,ENU,203862133
1618,OLY,203802715
1619,NKS,203397536
1620,OIS,202905386
1621,SPL,202500916
1622,RGU,202418928
1623,EBR,202392419
1624,BUL,202192100
1625,RER,201985540
1626,DUE,201865503
1627,RUT,201632866
1628,OPS,201162256
1629,ADU,201154199
1630,NSA,200916869
1631,APO,200614556
1632,POE,200351420
1633,RBA,200215659
1634,MPH,199569864
1635,RUG,199466215
1636,JUN,199292092
1637,LRE,198939074
1638,SUI,198797039
1639,OSO,198436340
1640,INL,197950715
1641,UIN,196882466
1642,FED,196296281
1643,RSA,196083929
1644,RLE,195994633
1645,NSF,195857161
1646,DEG,195471801
1647,OBT,195223525
1648,FIS,195172966
1649,DIO,194981811
1650,LDS,194690576
1651,WRO,194056166
1652,SQU,193045210
1653,RFE,192854586
1654,RWA,192804732
1655,GEL,192775619
1656,BTA,192211813
1657,RTM,191745251
1658,ERW,191683094
1659,SOO,191666600
1660,HME,191439726
1661,CUP,191418091
1662,UAN,189933012
1663,GME,189554915
1664,HAB,189043031
1665,URF,188501410
1666,ITL,188167868
1667,SOP,188110576
1668,TUS,187303318
1669,OOP,186961873
1670,BIO,186933806
1671,SEX,186163763
1672,AYI,186150448
1673,VOR,186064274
1674,NGA,185992573
1675,ROJ,185882026
1676,CAD,185844721
1677,ROY,185527461
1678,NEM,184871233
1679,AFR,184300140
1680,NEU,184096900
1681,LTY,183850932
1682,WEI,183780432
1683,IDS,183078353
1684,OJE,182481089
1685,ONM,182350292
1686,DOR,182293942
1687,DDL,182191959
1688,EPH,182004887
1689,WAI,181833564
1690,RGY,181580716
1691,OMS,181520600
1692,ULI,181169095
1693,CIV,180897692
1694,MBR,180734600
1695,URB,180328399
1696,SAW,179886790
1697,CCA,179128732
1698,BIR,178516273
1699,AUD,178452209
1700,COT,178365005
1701,EOU,178297266
1702,ABE,177242287
1703,RYI,177011612
1704,EON,176773220
1705,XIM,176641915
1706,UNL,176507678
1707,HLY,176417896
1708,IRR,175862292
1709,ESH,175440721
1710,OTS,175243179
1711,SAV,175165659
1712,DOO,175149222
1713,LUN,175112825
1714,FUT,174913823
1715,PTA,174780411
1716,NNO,174453154
1717,EWI,173880173
1718,OVA,173659413
1719,EWE,173403130
1720,VOT,173146515
1721,XPO,172901108
1722,WNE,172781918
1723,EPU,172206097
1724,ODA,171789113
1725,ASC,171410434
1726,BRU,170785660
1727,RAF,170705735
1728,NEF,170605479
1729,MPI,170347931
1730,OKI,170193998
1731,UNN,169998986
1732,PID,169937867
1733,OCR,169886618
1734,YMP,169632427
1735,ERB,169533252
1736,DOL,169446922
1737,KEY,169254436
1738,DEB,168973375
1739,OBI,168589803
1740,BOY,168541856
1741,MOL,168384549
1742,STM,167450843
1743,FAV,167201465
1744,NQU,166885227
1745,EHI,166277546
1746,AXI,166218377
1747,FAN,165772013
1748,IDG,164786088
1749,NOS,163901295
1750,EOL,163850046
1751,OPR,163638050
1752,VIA,163506579
1753,CKI,163090370
1754,BSO,162960428
1755,AGG,162728168
1756,DIM,162656034
1757,NNA,162538900
1758,ITC,162352860
1759,JUR,162309199
1760,ENL,162185413
1761,INH,162097523
1762,MIR,161922621
1763,UCI,161326241
1764,TTR,161218322
1765,REB,161205137
1766,GNO,160267420
1767,LTA,160040612
1768,DIG,160011830
1769,VOU,159914646
1770,RUI,159392435
1771,GOL,159314197
1772,WTH,159271498
1773,GAV,159022540
1774,UTA,158813599
1775,ISF,158811837
1776,ISK,158669386
1777,III,158650548
1778,UDD,158629626
1779,LAV,157611715
1780,LUA,157387911
1781,CAB,156584684
1782,VAS,156579077
1783,NIQ,156065873
1784,RNO,155943044
1785,MYS,155686158
1786,ICO,155644702
1787,DUT,155613193
1788,SPH,155111947
1789,UMS,155106997
1790,REH,155070536
1791,OYA,154436638
1792,OWT,154425351
1793,BEY,153734039
1794,CQU,153229589
1795,XER,153190074
1796,EDO,153068077
1797,NAD,152899597
1798,REO,152576393
1799,HIB,152363602
1800,OAL,152336936
1801,PTU,151600142
1802,BIG,151544022
1803,TUM,151353209
1804,YLE,151321035
1805,RUP,151305216
1806,PPA,150994706
1807,GIR,150936468
1808,OOS,150786834
1809,XED,150695750
1810,GUS,150641497
1811,ACQ,150613366
1812,GHL,150597544
1813,USC,150517981
1814,ACA,150246666
1815,WON,150030135
1816,UIC,149971363
1817,SYN,149965515
1818,TIP,149955131
1819,GAS,149478860
1820,CEA,148914543
1821,LUC,148742639
1822,OMY,148509528
1823,AGU,148176131
1824,CKL,148081313
1825,URD,147896067
1826,SIE,147683608
1827,RBI,147374418
1828,ULY,147335284
1829,JAM,147064867
1830,MBO,146910188
1831,GTO,146903668
1832,AFE,146804850
1833,UEL,146269447
1834,AWS,146030652
1835,TAM,145946549
1836,RSU,145907301
1837,SHM,145402582
1838,OFI,145207710
1839,DNE,145142169
1840,JOY,144962079
1841,WIF,144633868
1842,DRU,144498006
1843,NUS,144439102
1844,ENR,143680445
1845,MOO,143438420
1846,ZEN,143365869
1847,ETO,143335051
1848,SME,142930689
1849,UPT,142549267
1850,RBO,142161483
1851,NHA,141637405
1852,UTY,141392915
1853,OET,141380132
1854,RFU,140942694
1855,PTO,140783756
1856,NKE,140685786
1857,JES,140646028
1858,TOD,140601201
1859,VIV,140474690
1860,ACU,139734017
1861,JAC,139131071
1862,EHO,139083330
1863,GAM,139041705
1864,PLU,138934051
1865,DAL,138928124
1866,NJU,138707706
1867,YAL,138310163
1868,AIG,138260022
1869,EAG,137789200
1870,ULS,137446482
1871,MEW,137189263
1872,DIL,137056894
1873,ROK,136875443
1874,LUR,136784976
1875,FIF,136748737
1876,NLI,136720353
1877,ASA,136571919
1878,JAN,136440143
1879,JOB,136428114
1880,FEM,136317679
1881,NEO,135949487
1882,IEC,135610847
1883,VEY,135446584
1884,SAF,135120617
1885,SWI,134678194
1886,IXE,134614571
1887,UGU,134487562
1888,MEC,134447308
1889,PTS,134157253
1890,YSE,134075581
1891,TSI,133684249
1892,HEC,133662703
1893,EEC,133642475
1894,EUT,133491217
1895,BID,133406191
1896,MOC,133264489
1897,JEW,133178396
1898,HNO,133127248
1899,EDL,133066032
1900,LYI,132861282
1901,JAP,132629169
1902,EWA,132331525
1903,PAU,132028562
1904,NAC,131815605
1905,MBA,131638338
1906,IFO,131585709
1907,ABA,131347926
1908,NAS,131344250
1909,ORW,131296397
1910,ADJ,131256909
1911,GAG,131165069
1912,UPI,131108654
1913,BAD,130438049
1914,TYL,130053117
1915,XEC,129886158
1916,COD,129678300
1917,NFA,129580755
1918,HYP,129557712
1919,ITR,129380047
1920,NYT,129197478
1921,TIZ,129112465
1922,EWH,129086117
1923,ZON,128844185
1924,UOU,128235153
1925,OUC,128184243
1926,RMY,128121426
1927,ALD,128083255
1928,JUL,127966538
1929,INJ,127698630
1930,IXT,127674482
1931,SMO,127517820
1932,BLU,127344876
1933,IUS,127133440
1934,SOF,127128285
1935,ASY,127102524
1936,MST,126963023
1937,ARV,126924832
1938,DDR,126785940
1939,EYO,126628725
1940,FIX,126374679
1941,AZI,126224896
1942,GHO,126011497
1943,NLE,125911588
1944,MUR,125870418
1945,EHE,125839373
1946,MUM,125777399
1947,IMO,125637163
1948,MAX,125090353
1949,UMI,125008768
1950,DVE,124882983
1951,OCH,123925374
1952,ERD,123886065
1953,XIC,123809306
1954,DAV,123265598
1955,AWN,123068826
1956,ARP,123009950
1957,QUO,122702648
1958,RDA,122324108
1959,IAS,121597261
1960,BIA,121526678
1961,IGR,121426450
1962,HOI,121242964
1963,GIT,121145046
1964,TAY,121143745
1965,SOV,121012228
1966,UTR,121004904
1967,OSA,120990432
1968,RTO,120916876
1969,DAI,120758366
1970,ORB,120709356
1971,EAP,120274312
1972,DOP,120165874
1973,TEI,120165251
1974,RPE,119715751
1975,OUD,119476697
1976,UNK,119452197
1977,ABU,119383614
1978,DOI,119194733
1979,GIE,119002461
1980,BIS,118953450
1981,SFU,118888087
1982,WAV,118768358
1983,TOB,118609915
1984,FID,117926906
1985,TWI,117844850
1986,AEL,117775493
1987,ROX,117555451
1988,DIU,117387741
1989,TIB,116560291
1990,ABR,116182216
1991,ILM,115711536
1992,EXH,115651467
1993,HYD,115507487
1994,LCU,115422545
1995,SNE,115225612
1996,GUM,114965747
1997,GUN,114963720
1998,MIX,114729532
1999,UNF,114661050
2000,HIA,114525193
2001,ETC,114132680
2002,KLY,114000641
2003,EXU,113797895
2004,IZI,113682052
2005,TEV,113556951
2006,USP,113483926
2007,NNU,113409496
2008,SAD,113401912
2009,FOC,113281160
2010,RLA,113215428
2011,RTL,113128032
2012,FFA,113097618
2013,KEP,112959071
2014,UBE,112624643
2015,NFU,112526017
2016,OAS,112523674
2017,XCL,112435288
2018,RYT,111938520
2019,TAP,111672454
2020,EPS,111635602
2021,XPA,111546480
2022,PIS,110802264
2023,ENJ,110650547
2024,EKS,109725470
2025,LOB,109630655
2026,OPY,109588325
2027,NUR,109456666
2028,HIO,109404633
2029,PUN,109236039
2030,OYM,108867948
2031,LVI,108717854
2032,WAG,108111365
2033,ILU,107976988
2034,MUT,107881719
2035,SSF,107827016
2036,LPH,107722203
2037,VOC,107673203
2038,NSL,107577599
2039,UTL,107272366
2040,DVI,107136334
2041,UER,106901475
2042,SCL,106771853
2043,REJ,106551825
2044,IPE,106488468
2045,SFE,106295742
2046,NOB,106061388
2047,LCO,106023699
2048,IMB,105869244
2049,TUB,105770446
2050,AUN,105657484
2051,UPL,105610981
2052,CKN,105546049
2053,CRY,105499639
2054,NAV,105438472
2055,FET,105407237
2056,YDR,105405224
2057,APR,105366492
2058,EBE,105329480
2059,UTC,105207085
2060,TUE,105027029
2061,YCL,105011705
2062,ABB,104819766
2063,ATL,104542883
2064,FLY,104393779
2065,BUN,104314884
2066,NUF,104267450
2067,CYC,104108873
2068,BOX,103893072
2069,EGY,103704137
2070,AVY,103619079
2071,XCH,103270204
2072,PUS,103226359
2073,IFU,103225246
2074,OYS,103062515
2075,MPS,102766934
2076,UFA,102662815
2077,OSC,102576123
2078,XES,102405115
2079,SUD,101963631
2080,RIU,101787334
2081,OLT,101625977
2082,EMY,101562290
2083,UGE,101183478
2084,ICR,101150825
2085,LAP,101047653
2086,ISR,100782648
2087,GGL,100655611
2088,DWA,100123356
2089,ALV,100119729
2090,GOA,100073697
2091,XAC,99755462
2092,NJO,99570072
2093,SAB,99533176
2094,BUD,99522398
2095,RWI,99513268
2096,LKE,99460054
2097,RDL,99081243
2098,LTO,98916081
2099,OAN,98883699
2100,IOT,98831848
2101,LAK,98537260
2102,EBA,98372249
2103,NVA,98183062
2104,SOI,98179492
2105,PSE,97985592
2106,UPR,97958331
2107,SEF,97925573
2108,SAP,97884788
2109,UMN,97838638
2110,RMU,97781637
2111,POK,97763212
2112,TAF,97643320
2113,TLA,97576490
2114,ROI,97372833
2115,OPA,97279673
2116,YNA,97053196
2117,XUA,96797952
2118,EUM,96796065
2119,GIA,96729430
2120,RCO,96496457
2121,BBE,96297383
2122,LOM,96071691
2123,SBA,96069548
2124,LNE,95981175
2125,NUC,95862877
2126,ERU,95811901
2127,UCL,95775722
2128,RBE,95759552
2129,BOS,95267969
2130,ACO,95217021
2131,OOF,95182650
2132,WIC,95164593
2133,YPI,95072856
2134,RGO,94967700
2135,FRU,94844103
2136,DAU,94675250
2137,AYM,94493747
2138,UMO,94256747
2139,OBV,94231897
2140,ZER,93870205
2141,NOC,93636568
2142,SFO,93408923
2143,SIF,93352446
2144,BVI,93198288
2145,LKI,93184520
2146,MIE,92974019
2147,HBO,92888794
2148,ASM,92606256
2149,TLI,92521473
2150,RIK,92469767
2151,VEA,92389243
2152,HTL,92133099
2153,RUD,91953108
2154,AUR,91815582
2155,IDL,91800381
2156,ODO,91692104
2157,NAP,91544836
2158,GHB,91403380
2159,NRY,91164866
2160,NOI,90971497
2161,NUI,90805098
2162,BOW,90769205
2163,SHR,90661533
2164,LEL,90636023
2165,TWA,90427307
2166,CHM,90309564
2167,LEO,90007931
2168,KLE,89760193
2169,LEI,89703725
2170,REY,89524576
2171,ISU,89476147
2172,HRA,89415382
2173,PAB,89291662
2174,HAU,89170049
2175,CAV,89126385
2176,USB,88807582
2177,PHR,88686339
2178,DRY,88654268
2179,DGM,88622466
2180,WNS,88107751
2181,DJU,87668527
2182,GNS,87601347
2183,SSM,87350582
2184,OWD,87174970
2185,YPO,86847223
2186,OCO,86811546
2187,DOG,86757547
2188,UOT,86724125
2189,COH,86577483
2190,TTY,86512071
2191,LUB,86319564
2192,BIB,86079240
2193,ODD,85963452
2194,LIQ,85823080
2195,ULF,85692479
2196,IOG,85684446
2197,YMB,85560985
2198,UGA,85266156
2199,UIP,84692048
2200,TAU,84690299
2201,YRI,84242116
2202,YEE,84227936
2203,RTN,84188453
2204,SWA,83890731
2205,NCA,83676498
2206,BUY,83505493
2207,ADL,83299991
2208,RTR,83280275
2209,ILK,83278866
2210,MEO,82853973
2211,HID,82673397
2212,VII,81884741
2213,ISD,81703945
2214,RAH,81671337
2215,SKS,81617329
2216,VAG,81571157
2217,DYN,81437194
2218,HAE,81436110
2219,GOE,81371188
2220,YAN,81307774
2221,UEE,81228540
2222,NAI,81088151
2223,JOS,81075633
2224,EYS,80777294
2225,CCI,80507481
2226,RYO,80399833
2227,GAZ,80328477
2228,MAP,80236328
2229,PPY,80039704
2230,ALB,80001600
2231,OMF,79983130
2232,COI,79810126
2233,WLY,79716244
2234,MFO,79682682
2235,EDA,79640752
2236,XCI,79598184
2237,THW,79594897
2238,EGG,79475922
2239,DEX,79457167
2240,FAU,79456509
2241,THL,79402775
2242,AZE,79169877
2243,RCL,79027755
2244,MOB,78947685
2245,RAE,78903302
2246,VAC,78859422
2247,RUB,78843234
2248,IPI,78782885
2249,LEP,78525702
2250,YEL,78450660
2251,ACL,78178016
2252,SFA,77725048
2253,DEO,77648809
2254,ITN,77129642
2255,LME,77125197
2256,IPM,77081612
2257,NFR,76940474
2258,UTP,76924664
2259,RLO,76915076
2260,MEX,76904408
2261,RAU,76824270
2262,TFU,76742710
2263,INQ,76610100
2264,EIS,76531522
2265,EAB,76515710
2266,OSU,76454630
2267,YAR,76398219
2268,DEQ,76175772
2269,ZES,76113740
2270,THM,76104441
2271,SAS,75999186
2272,DOS,75911242
2273,LVA,75537677
2274,RHO,75271917
2275,TMO,75164174
2276,UIE,75023241
2277,SPU,74967202
2278,MIA,74961745
2279,HOC,74815130
2280,UPA,74623422
2281,EBT,74572074
2282,EAF,74531254
2283,NSM,74511277
2284,SEI,74454958
2285,UKE,74247713
2286,COC,74177673
2287,USN,74175758
2288,HIF,74138190
2289,NHE,74128262
2290,ULO,73854046
2291,NNY,73838960
2292,DAP,73829399
2293,STH,73640451
2294,GIL,73613073
2295,AXE,73566848
2296,RRU,73371753
2297,OUI,73258641
2298,NDM,73256579
2299,ADR,73250853
2300,FYI,73144789
2301,RUA,73137702
2302,AUC,73025940
2303,KIS,73007797
2304,NOD,72993911
2305,EDY,72884337
2306,JER,72808358
2307,UBM,72487397
2308,SEW,72382963
2309,IVO,72242666
2310,YIE,72141012
2311,LEB,72130660
2312,TOS,72035259
2313,EWO,71894385
2314,OGU,71888808
2315,WEB,71693166
2316,EDD,71658503
2317,HLE,71598222
2318,HWA,71579071
2319,IZO,71494572
2320,ULU,71422243
2321,SEU,71263363
2322,SMS,71231480
2323,HAK,71224914
2324,AMU,71212634
2325,COW,70881672
2326,GGR,70876259
2327,TID,70793531
2328,UBB,70775459
2329,HOE,70715428
2330,IGG,70460606
2331,ENH,70383399
2332,HUG,70366504
2333,OEM,70324538
2334,FEB,70082519
2335,RLS,70081893
2336,RDO,70078362
2337,EJE,69947817
2338,XHI,69934308
2339,IGO,69917416
2340,RYS,69907177
2341,DLI,69823313
2342,IOS,69695972
2343,NRE,69675893
2344,IRG,69481056
2345,XTU,69411411
2346,AWI,69325089
2347,NIU,69286322
2348,GOS,69216116
2349,TPU,69074650
2350,ALP,68885800
2351,RSP,68739769
2352,ALG,68677494
2353,CHL,68554995
2354,RPL,68534044
2355,IDO,68385460
2356,UNR,68344865
2357,NLA,68283319
2358,LYM,68269235
2359,CAG,68223838
2360,FIB,68219430
2361,CET,68045092
2362,FFS,67870291
2363,HTI,67785867
2364,SWO,67655031
2365,YPT,67608064
2366,SKY,67576008
2367,UNP,67572465
2368,NGD,67456115
2369,OBB,67344210
2370,ULP,67309952
2371,BAY,67224522
2372,ESA,67164117
2373,OGA,67087480
2374,GDO,67087181
2375,AHA,66611380
2376,LOI,66554119
2377,URK,66444087
2378,SAU,66425332
2379,SHU,66311578
2380,FTS,66310506
2381,DSO,66297371
2382,SRA,66201588
2383,HUT,66165251
2384,EMN,65995925
2385,LFI,65830828
2386,KAN,65755148
2387,VIG,65730633
2388,LEU,65723707
2389,CUI,65680959
2390,NPU,65636598
2391,GEA,65608842
2392,ENZ,65507116
2393,GIM,65387697
2394,LUI,65263603
2395,YNT,65210283
2396,GHA,64811807
2397,ZAR,64688790
2398,EDW,64518374
2399,NCU,64472070
2400,RHE,64337746
2401,XID,64249063
2402,KAB,63868593
2403,ERK,63785902
2404,ANX,63642441
2405,OHI,63143537
2406,APY,63130362
2407,WRE,63098524
2408,UAD,63002731
2409,BSC,62975701
2410,WIR,62934721
2411,DSH,62925714
2412,NYO,62898019
2413,ABY,62790443
2414,LBE,62580868
2415,NWA,62561071
2416,AKS,62323145
2417,NTM,62148765
2418,EIL,62142543
2419,EFA,62064267
2420,NXI,61850145
2421,COE,61843811
2422,OIT,61798170
2423,EEI,61794528
2424,OXY,61766386
2425,OIR,61702311
2426,RKA,61609045
2427,GIF,61578610
2428,NUO,61547273
2429,LOD,61507364
2430,HMA,61375932
2431,POC,61307468
2432,DIP,61261357
2433,NOP,61226017
2434,EOV,61200729
2435,DWI,61154988
2436,LFA,61084888
2437,RPH,61013741
2438,YTE,60835883
2439,HAG,60716588
2440,ILV,60691989
2441,RAZ,60417627
2442,PIO,60310781
2443,SOD,60289789
2444,INY,60211939
2445,IEU,60148971
2446,EGL,60016115
2447,PIA,59980466
2448,GIB,59959706
2449,LEW,59957381
2450,HAW,59845113
2451,EDR,59613451
2452,EBY,59561954
2453,GYP,59211418
2454,HEW,59198101
2455,FTY,59188389
2456,DST,59177697
2457,AGM,59162608
2458,AYA,59137150
2459,SYL,59072404
2460,UDA,59030557
2461,SEG,58894684
2462,NDY,58885194
2463,NOO,58776999
2464,SEH,58720939
2465,KID,58625808
2466,MOI,58283652
2467,VON,58184464
2468,THD,57969215
2469,BBI,57946225
2470,UIV,57884703
2471,ELM,57843667
2472,YLO,57755018
2473,PRU,57621827
2474,NGO,57439094
2475,ENF,57321143
2476,DAS,57316229
2477,OLK,57295317
2478,INP,57184487
2479,TMA,57092962
2480,SNA,56738861
2481,WSP,56517348
2482,HNS,56434631
2483,CUB,56159985
2484,BIC,55894303
2485,EFR,55776395
2486,BMI,55761580
2487,XIO,55620601
2488,ROE,55609190
2489,ELU,55561496
2490,UMU,55533601
2491,BAG,55519849
2492,GGI,55515725
2493,MIZ,55381459
2494,ATY,55274542
2495,LYT,55238994
2496,PYR,55221769
2497,BSI,55112488
2498,RUR,54983320
2499,WAK,54892793
2500,JON,54624374
2501,IRY,54486481
2502,PUP,54294918
2503,LSI,54282643
2504,AZA,54214766
2505,REU,54195089
2506,KNI,54131878
2507,SNO,53948681
2508,CKG,53929273
2509,KGR,53844038
2510,KAR,53781536
2511,DME,53762644
2512,NGH,53752604
2513,EUS,53694198
2514,NKL,53597706
2515,XIN,53596004
2516,PTH,53492134
2517,TCO,53479853
2518,RVO,53388604
2519,HIV,53346089
2520,UBI,53010770
2521,VET,52893162
2522,OHO,52724909
2523,LPE,52625366
2524,PIP,52581837
2525,KIT,52463576
2526,TFO,52367776
2527,EOG,52360683
2528,HFU,52251425
2529,UAB,52249404
2530,CKY,52236688
2531,BOM,52153545
2532,TOI,52098889
2533,CHY,52091209
2534,VEG,51955285
2535,MBU,51915273
2536,GST,51788931
2537,FTH,51712104
2538,XFO,51660934
2539,EFS,51485601
2540,CYT,51127593
2541,OTL,51001520
2542,YBE,50797127
2543,SFI,50564801
2544,OXF,50540168
2545,SBU,50470047
2546,JEA,50363824
2547,THN,50354880
2548,MOK,50241094
2549,ONU,50234052
2550,UGS,50225966
2551,TIQ,50223516
2552,YLI,50170733
2553,YMO,50167760
2554,CKA,50032192
2555,GMA,50004477
2556,RCA,50001988
2557,KAG,49556909
2558,VEI,49526718
2559,ULG,49507609
2560,IKI,49364554
2561,ENY,49297008
2562,BUC,49174180
2563,LMS,49068906
2564,LAX,48862602
2565,THF,48755280
2566,XAN,48707535
2567,LST,48684789
2568,DOT,48464918
2569,AYB,48464907
2570,UNW,48457951
2571,VUL,48399614
2572,TTS,48391701
2573,HRU,48366391
2574,ULN,48176575
2575,MAM,48135141
2576,LUX,47991580
2577,UBA,47770130
2578,CIM,47753490
2579,NIP,47685550
2580,BTE,47593904
2581,ITM,47507248
2582,EKI,47507001
2583,MNE,47474061
2584,YTI,47366134
2585,LTR,47290052
2586,SEY,47289498
2587,ONQ,47282611
2588,HDR,47173934
2589,AYO,47154413
2590,HLO,47146746
2591,ITZ,47018028
2592,NKN,46866346
2593,MLY,46858263
2594,OZE,46745794
2595,NIL,46714809
2596,ODG,46677388
2597,DWE,46589828
2598,KLI,46532278
2599,EBO,46503926
2600,DYI,46386927
2601,TEO,46353002
2602,SSL,46310197
2603,YWH,46308801
2604,XAT,46241619
2605,ORU,46224595
